"Q","SERIES_CODE","total_search","sum_link","sum_linkCtg","total_codefix","total_tabcount","links_by_series"
"mcoc34-15-15-lk5",110300123930,1,1,0,1,1,1
"atpa15l100-a-p8",110300405670,2,1,0,1,2,1
"atpt16l100-a-n17",110300405670,1,1,0,1,2,1
"magnet",110100146830,226,70,316,1,12,9
"magnet",110302027660,226,70,316,1,2,2
"magnet",110300528960,226,70,316,1,5,2
"jht",110300180970,1,1,0,1,1,1
"nkosjn6",110300521010,1,1,0,1,1,1
"hx",110100146920,162,55,0,24,63,46
"hx",110100147010,162,55,0,3,5,5
"hxu",110100147010,63,27,0,17,39,26
"hx10",110100146920,1,3,0,2,5,3
"sjal-c13-90-p10",110100095120,3,1,0,1,1,1
"hfs5",110302368740,89,38,17,6,35,17
"hfs5",110302368920,89,38,17,3,18,9
"hfsc5_2020_1364_5_tpw",110302368740,1,1,0,1,2,1
"hfsc5-2020-1364.5-tpw-av682",110302368740,1,1,0,0,2,1
"hfs5-2020-250",110302368740,2,2,0,1,3,2
"hfs5",110302369170,89,38,17,1,2,1
"hfsb",110302368740,9,2,0,0,3,1
"hfs5",110302247550,89,38,17,1,1,1
"hfs5-20",110302368920,1,2,0,1,2,1
"hfs5-2060",110302368920,9,6,0,5,10,6
"hfs5",110302368830,89,38,17,1,11,7
"palzs20-100-135-sfc",110100173610,0,2,0,1,2,2
"epj10-200",110200003250,1,1,0,0,1,1
"epj8-150",110200003250,0,1,0,0,1,1
"epj12-150",110200003250,1,1,0,1,1,1
"epj16-200",110200003250,1,2,0,2,2,2
"lau10-a100-b50-l130",110300543840,1,1,0,1,2,1
"u-wsss0.50",110302178950,1,1,0,1,1,1
"kbjal",110100139220,1,1,0,1,1,1
"kbjal25-90-p25",110100139220,3,1,0,0,1,1
"brn",110100139920,5,1,0,1,1,1
"btgz",110300415130,2,1,0,1,2,1
"fwzab",110300233040,7,5,0,1,8,5
"twzab",110300233040,2,2,0,1,3,2
"pfssr6",110300146060,4,3,0,2,8,3
"press fit plunger",110300146060,2,2,0,1,6,1
