"Q","cat_name_1","cat_name_2","cat_name_3","cat_name_4","cat_name_5","total_search","sum_link","sum_linkCtg","LinkCtg","total_codefix_linkCtg","ConvRate"
"hinge","Aluminum Extrusions, Pipe Frames","Accessories for Aluminum Extrusions","Handles, Hinges, Door Parts for Aluminum Extrusions",,,176,4,97,28,13,0.159090909090909
"hinge","Rotary Motion","Cantilever Pins, Hinge Pins",,,,176,4,97,5,0,0.0284090909090909
"hinge","Components/Peripheral Components","Components for Automobile Dies","Link Components For Hemming Dies","Hinge Pins",,176,4,97,1,0,0.00568181818181818
"extrusion","Aluminum Extrusions, Pipe Frames",,,,,175,108,102,53,0,0.302857142857143
"extrusion","Aluminum Extrusions, Pipe Frames","Alunminum Extrusion and Brackets",,,,175,108,102,32,0,0.182857142857143
"extrusion","Aluminum Extrusions, Pipe Frames","Accessories for Aluminum Extrusions",,,,175,108,102,12,0,0.0685714285714286
"extrusion","Aluminum Extrusions, Pipe Frames","Extrusion Kits and Mesh Fences",,,,175,108,102,5,0,0.0285714285714286
"standoff","Casters, Leveling Mounts, Posts, Cover Panels","Angle Plates, Gussets and Standoffs",,,,170,0,47,47,0,0.276470588235294
"s","Linear Motion","Linear Bushings",,,,169,5,1,1,0,0.00591715976331361
"locating pins","Components/Peripheral Components","Locating Components for Automobile Dies","Locating Pins",,,167,123,74,33,0,0.197604790419162
"locating pins","Locating, Positioning, Jigs & Fixtures","Locating Pins, Bushings",,,,167,123,74,28,0,0.167664670658683
"locating pins","Components/Peripheral Components","Locating Components for Automobile Dies","Location Pins",,,167,123,74,9,4,0.0538922155688623
"locating pins","Components/Peripheral Components","Inspection Jig Components","Locating Bars For Tapping Positions",,,167,123,74,4,2,0.0239520958083832
"shaft collar","Linear Motion","Shaft Collars",,,,165,139,38,44,15,0.266666666666667
"handle","Doors, Cabinet Hardware","Handles, Hinges",,,,159,77,83,40,0,0.251572327044025
"handle","Doors, Cabinet Hardware","Levers, Handles, Knobs",,,,159,77,83,25,0,0.157232704402516
"handle","Aluminum Extrusions, Pipe Frames","Accessories for Aluminum Extrusions","Handles, Hinges, Door Parts for Aluminum Extrusions",,,159,77,83,17,7,0.106918238993711
"handle","Doors, Cabinet Hardware","Latch Handles, Locks, Keys",,,,159,77,83,1,0,0.00628930817610063
"pulley","Rotary Power Transmission","Timing Belts, Pulleys",,,,159,45,89,48,0,0.30188679245283
"pulley","Rotary Power Transmission","Round Belts, Pulleys",,,,159,45,89,28,1,0.176100628930818
"pulley","Conveyors & Material Handling","Flat Belts, Pulleys",,,,159,45,89,13,0,0.0817610062893082
"dowel pin","Components/Peripheral Components","Components","Dowel Pins",,,154,56,112,81,0,0.525974025974026
"dowel pin","Accessories, Others","Dowel Pins",,,,154,56,112,22,4,0.142857142857143
"dowel pin","Adjusting, Fastening,  Magnets","Retaining Rings, Pins, Machine Keys","Dowel Pins, Spring Pins, Stepped Dowel Pins",,,154,56,112,8,0,0.051948051948052
"dowel pin","Guide Components","Holder Guide Post Sets","Components For Holder Guide Post Sets","Washers For Preventing Dowel Pin Fall-Out",,154,56,112,1,0,0.00649350649350649
"locating pin","Components/Peripheral Components","Locating Components for Automobile Dies","Locating Pins",,,150,70,71,28,0,0.186666666666667
"locating pin","Locating, Positioning, Jigs & Fixtures","Locating Pins, Bushings",,,,150,70,71,24,0,0.16
"locating pin","Components/Peripheral Components","Locating Components for Automobile Dies","Location Pins",,,150,70,71,13,6,0.0866666666666667
"locating pin","Components/Peripheral Components","Inspection Jig Components","Locating Bars For Tapping Positions",,,150,70,71,7,2,0.0466666666666667
"key","Punches & Dies","Punches","Components for Punches","Key Flats",,148,56,135,75,19,0.506756756756757
"key","Components/Peripheral Components","Components for Automobile Dies","Die Clamping And Adjustment Components","Locating Keys",,148,56,135,51,3,0.344594594594595
"key","Punches & Dies","Punches","Components for Punches","Fixing Keys For Punches With Key Grooves",,148,56,135,5,1,0.0337837837837838
"key","Components/Peripheral Components","Components for Automobile Dies","Die Clamping And Adjustment Components","Backup Keys",,148,56,135,3,0,0.0202702702702703
"key","Adjusting, Fastening,  Magnets","Retaining Rings, Pins, Machine Keys",,,,148,56,135,1,0,0.00675675675675676
"magnets","Components/Peripheral Components","Components","Magnets",,,142,21,191,80,20,0.563380281690141
"magnets","Accessories, Others","Magnets",,,,142,21,191,52,10,0.366197183098592
"magnets","Adjusting, Fastening,  Magnets","Magnets",,,,142,21,191,51,0,0.359154929577465
"magnets","Mold Opening Controllers","Parting Lock Sets","Magnetic Lock Sets",,,142,21,191,8,1,0.0563380281690141
