"Q","total_search","sum_linkCtg","sum_link","total_codefix"
"hxb",17,0,0,2
"sjal",17,0,11,4
"sselb",17,0,7,6
"box-",17,0,2,10
"ssf",17,0,0,6
"hxf",17,0,0,3
"cpl",17,0,8,6
"hlra",17,0,12,7
"spring pins",17,5,7,1
"polycarbonate",17,6,13,1
"mpbzu",17,0,9,9
"lhfs",17,0,7,11
"telana",17,0,10,6
"wh",17,0,4,3
"was",17,0,1,3
"jph",17,0,2,3
"coil spring",17,11,15,2
"cs",17,0,0,1
"cbd",17,0,5,2
"tfzf",17,0,6,7
"uw",17,0,0,10
"ch",17,0,2,5
"gear rack",17,3,17,2
"ys",17,1,1,2
"gussets",17,2,19,4
"button",17,1,2,1
"clbr",17,0,10,5
"htun",17,0,0,2
"wm",17,0,3,3
"hfsb5-2020",17,0,14,7
"jbhc",17,0,4,3
"threaded shaft",17,0,9,1
"hhdf19",17,0,12,5
"thread insert",17,20,0,0
"gearbox",17,0,0,0
"hub",17,0,15,0
"threaded insert",17,16,0,0
"nozzles",17,1,8,0
"ball transfer",17,0,0,0
"sprockets",17,12,5,0
"rods",17,14,0,0
"2gt",16,0,16,7
"ball valve",16,1,20,2
"ptpa",16,0,1,6
"eye bolt",16,4,12,4
"stage",16,6,6,3
"cbst",16,0,4,10
"hs",16,0,0,9
"hnta",16,0,9,3
"sebs",16,0,5,5
"stws",16,0,10,13
"msw",16,0,6,11
"sl",16,0,2,10
"jack",16,0,7,1
"pmx",16,0,1,9
"stopper bolts",16,2,12,2
"sta",16,0,2,6
"uss",16,0,2,8
"co",16,0,0,3
"hntt6",16,0,13,10
"wsssh",16,0,4,6
"shf",16,0,3,9
"ht",16,0,0,6
"hfc6",16,0,5,10
"aik",16,0,0,7
"sthrb",16,0,6,6
"fc",16,0,0,8
"sspr",16,0,8,2
"fl",16,0,1,6
"mtsfr",16,0,11,11
"rsr",16,0,8,7
"u-s",16,0,0,3
"flange",16,4,3,1
"jps",16,0,2,5
"cvta",16,0,7,4
"hlr",16,0,5,9
"cvsa",16,0,10,6
"cover",16,2,11,1
"cbstse",16,0,4,6
"hccgh",16,0,12,8
"contact switch",16,2,11,1
"hexagonal post",16,0,17,1
"terminal",16,3,7,1
"connector",16,0,3,2
"msht",16,0,1,1
"sms",16,0,2,5
"blp",16,0,7,3
"hook",16,4,7,1
"linear bushings",16,2,13,1
"encoder",16,0,4,1
"spsnl6-1",16,0,3,1
"pad",16,9,12,1
"stop pins",16,2,13,2
"precision washer",16,0,26,4
"stop bolt",16,3,21,4
"hsj6",16,0,9,3
"rg",16,0,8,1
"cpd",16,0,4,3
"sptwa",16,0,0,1
"helicoil",16,0,3,0
"roller bearing",16,5,7,0
"guide pins",16,2,14,0
"retaining rings",16,10,1,0
"fwss",15,0,3,8
"nclb",15,0,12,6
"md",15,0,1,7
"lfzf",15,0,6,1
"hfs8-",15,0,4,7
"m3",15,0,0,3
"hntt8",15,0,7,10
"bu",15,0,1,4
"hblfsdw5",15,0,9,7
"pm",15,0,2,5
"pmxy",15,0,2,8
"u-sfjw",15,0,12,10
"rb",15,0,0,6
"uwan",15,0,5,6
"uhfn",15,0,10,8
"sp40b",15,0,5,2
"sse2b",15,0,6,7
"unut",15,0,1,8
"fjcl",15,0,1,13
"hexagonal",15,0,4,1
"lhbbw",15,0,4,10
"esn",15,0,8,3
"fabb",15,0,10,6
"jban",15,0,8,9
"sxr",15,0,7,7
"sswa",15,0,7,7
"shock absorbers",15,1,21,4
"hntp5-5",15,0,13,12
"wf",15,0,4,5
"mpgz",15,0,9,5
"sel",15,0,4,4
"ms3-10",15,0,8,3
"es",15,0,1,4
"sebz",15,0,9,9
"low head",15,6,2,2
"mptz",15,0,7,6
"jzf",15,0,8,7
"cljj",15,0,10,6
"swh",15,0,7,8
"jack screw",15,0,6,1
"air",15,5,3,1
"tl",15,0,0,4
"peek",15,2,10,2
"gasket",15,0,14,1
"fittings",15,9,5,1
"ms4-10",15,0,8,2
"lbnr",15,0,4,4
"spt",15,0,11,5
"sebw",15,0,6,2
"door",15,10,11,1
"parallel key",15,8,7,1
"plastic washer",15,0,4,3
"guide pin",15,5,3,1
"grease",15,2,12,2
"floating joints",15,3,25,2
"s3m",15,0,19,3
"shaft key",15,0,3,1
"air cylinder",15,7,11,3
"tbcs",15,0,6,9
"captive",15,0,0,0
"captive screw",15,0,0,0
"brass",15,0,8,0
"stop pin",15,6,9,0
"alignment pin",15,0,0,0
"support",15,6,3,0
"mount",15,6,0,0
"height adjusting blocks",15,0,7,0
"alignment pins",15,0,1,0
"nylon",15,1,12,0
"shafting",15,3,11,0
"flat belts",15,2,0,0
"roller bearings",15,3,1,0
"ah",14,0,0,7
"psc",14,0,0,6
"kedz",14,0,9,4
"mss",14,0,0,8
"scpw",14,0,8,5
"1",14,1,0,3
"angle brackets",14,3,2,1
"cbm",14,0,6,9
"mxl",14,0,15,4
"lm",14,0,2,7
"u-ssfj",14,0,8,4
"pipe fittings",14,10,1,1
"sfad",14,0,8,3
"sbc",14,0,0,6
"thk",14,0,0,2
"hfs5-",14,0,0,3
"eph",14,0,7,7
"hblfsd5",14,0,8,3
"hflbs5-650",14,0,9,7
"sgp",14,0,6,5
"mg",14,0,3,5
"cff",14,0,1,9
"aikf",14,0,6,3
"mcgl",14,0,6,3
"cm",14,0,0,6
"stnug",14,0,2,2
"wt",14,0,2,3
"clms",14,0,8,6
"cpswwk",14,0,2,6
"mlhs",14,0,8,6
"ho",14,0,0,3
"c-",14,0,1,1
"ba",14,0,2,7
"hblfsn8",14,0,10,11
"et",14,0,2,4
"foot",14,0,6,2
"tel",14,0,3,8
"elana",14,0,8,7
"kf",14,0,2,5
"cldmc",14,0,4,6
"bronze",14,0,14,2
"sfl",14,0,0,3
"aip",14,0,2,5
"gas springs",14,6,17,1
"kua",14,0,9,3
"htcpa",14,0,3,6
"okjs",14,0,12,6
