"Q","cat_name_1","cat_name_2","cat_name_3","cat_name_4","cat_name_5","SERIES_CODE","total_search","sum_link","sum_linkCtg","LinkCtg","total_codefix_linkCtg"
"spring","Guide Components","Stripper Guide Pins and Bushings","Components For Stripper Guide Pins & Bushings","Springs For Ball Cages",,110100155050,348,126,221,1,1
"spring","Doors, Cabinet Hardware","Handles, Hinges","Hinges","Damper Hinges, Spring Hinges",,110302363410,348,126,221,1,2
"spring","Doors, Cabinet Hardware","Handles, Hinges","Hinges","Damper Hinges, Spring Hinges",,110300524850,348,126,221,1,1
"spring","Guide Components","Guide Posts and Bushings for Die Sets","Components For Guide Posts & Bushings For Die Sets","Roller Guide Post Springs",,110302142460,348,126,221,1,1
"spring","Springs","Urethane Springs",,,,,348,126,221,1,0
"spring","Springs, Shock Absorbers","Shock Absorbers, Gas Springs",,,,,348,126,221,1,0
"pin","Locating, Positioning, Jigs & Fixtures","Locating Pins, Bushings",,,,,291,84,172,43,0
"pin","Rotary Motion","Cantilever Pins, Hinge Pins",,,,,291,84,172,40,0
"pin","Locating, Positioning, Jigs & Fixtures","Plungers, Index Plungers","Ball Lock Pins, Slot Pins",,,,291,84,172,16,0
"pin","Inspection","Automotive Inspection Components","Tapped Pins for Inspection Fixtures",,,,291,84,172,11,0
"pin","Guide Components","Stripper Guide Pins and Bushings",,,,,291,84,172,8,0
"pin","Locating, Positioning, Jigs & Fixtures","Other Locating Related Components","Stop Pins",,,,291,84,172,6,0
"pin","Locating, Positioning, Jigs & Fixtures","Plungers, Index Plungers","Ball Lock Pins, Slot Pins",,,110300147370,291,84,172,4,3
"pin","Leader Components, Components for Ejector Space","Components for Positioning","Positioning Pins",,,,291,84,172,4,0
"pin","Locating, Positioning, Jigs & Fixtures","Plungers, Index Plungers","Ball Lock Pins, Slot Pins",,,110302244840,291,84,172,3,5
"pin","Locating, Positioning, Jigs & Fixtures","Other Locating Related Components","Clamping Screws",,,,291,84,172,3,0
"pin","Components/Peripheral Components","Components for Automobile Dies","Retainer Pins",,,,291,84,172,3,0
"pin","Components/Peripheral Components","Components for Guide Lifters","Stripper Pressure Pins",,,,291,84,172,2,0
